advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
shape,/ʃeɪp/,Verb,"Định hình, tác động đến (chiến lược)",To have an important influence on the way that somebody/something develops,The new ergonomic chair has an innovative shape.,Chiếc ghế công thái học mới có hình dạng đột phá.,Several key events shaped her career path.,Một vài sự kiện quan trọng đã định hình con đường sự nghiệp của cô ấy.,B2,,,,,The new ergonomic chair has an innovative _____________.,Several key events _____________ her career path.,division,"sự phân chia, bộ phận",commencement,sự bắt đầu,creek,con suối,eyeglasses,mắt kính,breakout,"sự bùng nổ, sự vượt ngục",The visual arts
portray,/pɔːˈtreɪ/,Verb,"thủ vai, khắc họa, miêu tả","to play the part of a particular character in a film, play, etc.; to describe or show somebody/something in a particular way",The actor portrayed the historical figure with great dignity.,Nam diễn viên đã thủ vai nhân vật lịch sử đó với phẩm giá tuyệt vời.,The film portrays the artists life in vivid detail.,Bộ phim khắc họa cuộc đời của người nghệ sĩ một cách sống động chi tiết.,B2,,,,,The actor _____________ the historical figure with great dignity.,The film _____________ the artists life in vivid detail.,scruffy,"lôi thôi, lếch thếch",misunderstanding,sự hiểu lầm,maternity leave,nghỉ thai sản,revision,"sự ôn tập, ôn thi",invest,Đầu tư,The visual arts
mold,/məʊld/,noun,khuôn đúc,"a container that you pour a liquid into, so that it takes its shape when it hardens",The plaster is poured into a mould.,Thạch cao được đổ vào khuôn.,The artist molded the clay into a vase.,Người nghệ sĩ đã nặn đất sét thành một cái bình.,B2,,,,,The plaster is poured into a _____________.,The artist _____________ the clay into a vase.,invaluable,"vô cùng quý giá, vô giá",supportive,"ủng hộ, hỗ trợ, động viên",increment,sự tăng lương định kỳ,composition,thành phần; cấu tạo,useless,"vô dụng, không có ích",The visual arts
clumsy,/ˈklʌmzi/,Adjective,vụng về,"Moving or doing things in a way that is not graceful or skilful, often causing accidents.",His clumsy attempt to explain the complex theory only confused the audience.,Nỗ lực vụng về giải thích lý thuyết phức tạp của anh ta chỉ làm khán giả thêm bối rối.,His clumsy attempt to apologize only made the client angrier.,Nỗ lực xin lỗi một cách vụng về của anh ta chỉ khiến khách hàng thêm tức giận.,B1,,,,,His _____________ attempt to explain the complex theory only confused the audience.,His _____________ attempt to apologize only made the client angrier.,protective,"che chở, bảo vệ, muốn bảo vệ",truthful,"thật thà, trung thực",part with,"chia tay, từ bỏ (vật quý giá)",thesis,"luận văn, luận án",loyal,trung thành,The visual arts
cubist,ˈkjuːbɪst,adjective,thuộc trường phái lập thể,relating to cubism,The gallery has a Picasso painting from his cubist period.,Phòng trưng bày có một bức tranh của Picasso từ thời kỳ lập thể của ông.,The cubist style is very distinctive.,Phong cách lập thể rất đặc trưng.,C1,,,,,The gallery has a Picasso painting from his _____________ period.,The _____________ style is very distinctive.,standing ovation,sự hoan hô nhiệt liệt,rub shoulders with,tiếp xúc với,midriff,vùng eo,dabbler,người học đòi,abhor,ghê tởm,The visual arts
dauber,ˈdɔːbə(r),noun,họa sĩ tồi,a bad painter,The painting looks like it was made by a dauber.,Bức tranh trông giống như được tạo ra bởi một họa sĩ tồi.,He is nothing but a dauber.,Anh ta chẳng qua chỉ là một kẻ bôi bác.,C1,,,,,The painting looks like it was made by a _____________.,He is nothing but a _____________.,understated,giản dị,socializing,việc giao lưu xã hội,overalls,quần yếm,hooked,bị nghiện,abhorrent,ghê tởm,The visual arts
highbrow,ˈhaɪbraʊ,adjective,hàn lâm,intellectual,The film was too highbrow for most people.,Bộ phim quá hàn lâm đối với hầu hết mọi người.,She enjoys highbrow literature.,Cô ấy thích văn học bác học.,C1,,,,,The film was too _____________ for most people.,She enjoys _____________ literature.,up-and-coming,đầy triển vọng,stag party,tiệc độc thân (cho nam),revealing,hở hang,lawn,bãi cỏ,antipathy,ác cảm,The visual arts
impenetrable,ɪmˈpenɪtrəbl,adjective,khó hiểu,impossible to understand,The language in the contract is impenetrable.,Ngôn ngữ trong hợp đồng khó hiểu.,The explanation was impenetrable.,Lời giải thích không thể thâm nhập.,C1,,,,,The language in the contract is _____________.,The explanation was _____________.,dazzlingly,một cách sáng chói,boo,la ó,skimpy,thiếu vải,dolled up,trang điểm diện đồ,averse,không thích,The visual arts
inure,ɪˈnjʊə(r),verb,làm cho quen,to accustom,Living in a noisy city can inure you to loud sounds.,Sống trong một thành phố ồn ào có thể làm bạn quen với âm thanh lớn.,He was inured to the cold weather.,Anh ấy đã quen với thời tiết lạnh.,C1,,,,,Living in a noisy city can _____________ you to loud sounds.,He was _____________ to the cold weather.,depicted,được miêu tả,flop,sự thất bại,a matter of life and death,vấn đề sống còn,dressed-up,ăn diện,aversion,sự ghét,The visual arts
lowbrow,ˈləʊbraʊ,adjective,bình dân,not intellectual,He prefers lowbrow entertainment.,Anh ấy thích giải trí bình dân.,The show is too lowbrow for my taste.,Chương trình quá ít học đối với sở thích của tôi.,C1,,,,,He prefers _____________ entertainment.,The show is too _____________ for my taste.,dreary,ảm đạm,laud,tán dương,drive home,đánh trúng tâm lý,hand in glove,sâu sát,loathe,ghê tởm / cực ghét,The visual arts
op art,ˈɒp ɑːt,noun,nghệ thuật thị giác,optical art,I love the optical illusions in op art.,Tôi thích những ảo ảnh quang học trong nghệ thuật thị giác.,The op art exhibition was popular.,Triển lãm nghệ thuật quang học đã rất phổ biến.,C1,,,,,I love the optical illusions in _____________.,The _____________ exhibition was popular.,earnest,nghiêm túc,miscast,chọn sai diễn viên,furnished,được trang bị nội thất,have something up ones sleeve,có kế hoạch bí mật,loathing,sự ghê tởm,The visual arts
surrealist,səˈriːəlɪst,noun,người theo chủ nghĩa siêu thực,an artist of surrealism,He is a surrealist painter.,Anh ấy là một họa sĩ siêu thực.,She is influenced by surrealist art.,Cô ấy bị ảnh hưởng bởi nghệ thuật siêu thực.,C1,,,,,He is a _____________ painter.,She is influenced by _____________ art.,evocative,gợi cảm,slate,chỉ trích,granny flat,căn hộ phụ,High Street,phố mua sắm chính,loathsome,đáng ghê tởm,The visual arts
undemanding,ˌʌndɪˈmɑːndɪŋ,adjective,dễ dãi,not difficult,She chose an undemanding job to reduce stress.,Cô ấy đã chọn một công việc dễ dãi để giảm căng thẳng.,The task was undemanding.,Nhiệm vụ không đòi hỏi khắt khe.,B2,,,,,She chose an _____________ job to reduce stress.,The task was _____________.,peerless,vô song,applause,tràng pháo tay,hit home,làm cho thấu hiểu,no-frills,đơn giản,scorn,khinh bỉ,The visual arts
subject matter,ˈsʌbdʒɪkt ˌmætə(r),noun,"Chủ đề, nội dung","The ideas, information, or topic that something such as a book, speech, or meeting deals with.",The subject matter of the film is quite controversial.,Chủ đề của bộ phim khá gây tranh cãi.,The book covers difficult subject matter.,Cuốn sách đề cập đến chủ đề khó.,B2,,,,,The _____________ of the film is quite controversial.,The book covers difficult _____________.,regulation,quy định,automated teller machine,Máy rút tiền tự động (ATM).,surgery,"Phẫu thuật, ca mổ",armor,áo giáp,alarm,"còi báo động, sự báo động",The visual arts
original,əˈrɪdʒənl,adjective,"Nguyên bản, gốc, độc đáo",Existing from the beginning; being the first one of its kind.,This restaurant serves the original version of this classic dish.,Nhà hàng này phục vụ phiên bản nguyên bản của món ăn cổ điển này.,"This painting is an original work by Picasso, not a reproduction.","Bức tranh này là tác phẩm nguyên bản của Picasso, không phải là bản sao.",B1,,,,,This restaurant serves the _____________ version of this classic dish.,"This painting is an _____________ work by Picasso, not a reproduction.",injustice,sự bất công,capital,Vốn.,pediatrician,Bác sĩ nhi khoa,monarch,"quân vương, quốc vương",off the hook,"thoát khỏi rắc rối, không còn bị khiển trách",The visual arts
school,/skuːl/,noun,Trường học,a place where children go to be educated,The children go to school by bus.,Bọn trẻ đi học bằng xe buýt.,She is a graduate of a well-known business school.,Cô ấy là cựu sinh viên của một trường kinh doanh nổi tiếng.,A1,,,,,The children go to _____________ by bus.,She is a graduate of a well-known business _____________.,uniform,Đồng phục,happen,Xảy ra,put down,"đặt xuống, ghi chép lại, hạ thấp/chê bai",sound,âm thanh,production,"sự sản xuất, quá trình sản xuất",The visual arts
predictable,/prɪˈdɪktəbl/,Adjective,"có thể đoán trước, tẻ nhạt",behaving or happening in a way that you expect and not unusual or interesting,The ending of the book was entirely predictable.,Kết thúc của cuốn sách hoàn toàn có thể đoán trước.,The plot of the movie was so predictable that I guessed the ending halfway through.,Cốt truyện của bộ phim quá dễ đoán đến nỗi tôi đã đoán được kết thúc ngay từ giữa phim.,B2,,,,,The ending of the book was entirely _____________.,The plot of the movie was so _____________ that I guessed the ending halfway through.,freedom,sự tự do,distant,"xa xôi (về không gian, thời gian)",put on,"tăng, lên (cân)",under the weather,thấy không khỏe,solidify,đông cứng lại,The visual arts
impressionism,/ɪmˈpreʃənɪzəm/,noun,trường phái ấn tượng,a style in painting developed in France in the late 19th century that uses colour to show the effects of light on things,The course covers French art from Impressionism to the present day.,Khóa học bao gồm nghệ thuật Pháp từ trường phái Ấn tượng đến ngày nay.,Impressionism revolutionized the use of color and light.,Trường phái Ấn tượng đã cách mạng hóa việc sử dụng màu sắc và ánh sáng.,B2,,,,,The course covers French art from _____________ to the present day.,_____________ revolutionized the use of color and light.,high-rise,(thuộc) nhà cao tầng,ally,đồng minh,merchandise,"hàng hóa (mua bán, đặc biệt trong cửa hàng)",tuition fees,học phí,split up,"chia tay, chấm dứt mối quan hệ",The visual arts
deem,/diːm/,verb,"cho rằng, coi là",to have a particular opinion about something,The event was deemed a great success.,Sự kiện được coi là một thành công lớn.,The government deemed the country to be in a state of emergency.,Chính phủ cho rằng đất nước đang trong tình trạng khẩn cấp.,C1,,,,,The event was _____________ a great success.,The government _____________ the country to be in a state of emergency.,household name,cái tên quen thuộc với mọi nhà,ecstatic,"ngây ngất, hân hoan, cực kỳ phấn khích",naive,"ngây thơ, khờ dại",literacy,"sự biết chữ, trình độ học vấn",loyal,trung thành,The visual arts
surrealism,/səˈriːəlɪzəm/,noun,chủ nghĩa siêu thực,"a 20th-century style and movement in art and literature in which images and events that are not connected are put together in a strange or impossible way, like a dream",Surrealism sought to unlock the subconscious mind.,Chủ nghĩa Siêu thực tìm cách khai mở tiềm thức.,The film was heavily influenced by Surrealism.,Bộ phim chịu ảnh hưởng nặng nề của Chủ nghĩa Siêu thực.,B2,,,,,_____________ sought to unlock the subconscious mind.,The film was heavily influenced by _____________.,interpretation,"sự thể hiện, diễn xuất, cách hiểu",sheer,"hoàn toàn, tuyệt đối; dốc đứng; (vải) mỏng tang",industrious,Cần cù / Siêng năng,syllabus,chương trình học (môn học),respect,sự tôn trọng,The visual arts
