Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
earthquake,/ˈɜːrθkweɪk/,noun,Động đất,"A sudden violent shaking of the ground, typically causing great destruction.",The building is designed to withstand an earthquake.,Tòa nhà được thiết kế để chịu được động đất.,The devastating earthquake measured 7.8 on the Richter scale.,"Trận động đất tàn khốc đã đo được 7,8 độ Richter.",B1,,,,,The building is designed to withstand an _____________.,The devastating _____________ measured 7.8 on the Richter scale.,sweep through,"quét qua (bão, hỏa hoạn…)",malaria,bệnh sốt rét; thường lây qua muỗi,spill,"làm tràn, đổ",stain,"vết ố, vết bẩn khó tẩy",cant stand,"không thể chịu nổi, rất ghét",Global problems
drought,/draʊt/,noun,Hạn hán,"A prolonged period of abnormally low rainfall, leading to a shortage of water.",The drought has devastated crops.,Hạn hán đã tàn phá mùa màng.,The severe drought caused crops to wither and rivers to dry up.,Trận hạn hán nghiêm trọng đã khiến mùa màng héo úa và sông ngòi khô cạn.,B2,,,,,The _____________ has devastated crops.,The severe _____________ caused crops to wither and rivers to dry up.,shake,rung chuyển,diarrhoea,tiêu chảy,break down,"hỏng, ngừng hoạt động",lock yourself out,tự khóa mình ở ngoài (quên chìa khóa trong nhà/xe),a good friend,"bạn tốt, thân nhưng không phải thân nhất",Global problems
famine,/ˈfæmɪn/,noun,Nạn đói,Extreme scarcity of food.,The region is threatened by famine.,Khu vực này đang bị đe dọa bởi nạn đói.,The prolonged drought led to a severe famine affecting millions of people.,Hạn hán kéo dài đã dẫn đến một nạn đói nghiêm trọng ảnh hưởng đến hàng triệu người.,B2,,,,,The region is threatened by _____________.,The prolonged drought led to a severe _____________ affecting millions of people.,erupt,(núi lửa) phun trào,cholera,bệnh tả; gây tiêu chảy nghiêm trọng,flat,"phẳng, bằng",graze,"trầy xước nhẹ, rách da nhưng không chảy nhiều máu",get together,"Tụ tập, họp mặt",Global problems
injure,ˈɪndʒə(r),verb,làm bị thương,"to harm yourself or somebody else physically, especially in an accident",He injured his knee playing football.,Anh ấy bị thương ở đầu gối khi chơi bóng đá.,Be careful not to injure yourself while moving that heavy furniture.,Hãy cẩn thận đừng làm mình bị thương khi di chuyển đồ đạc nặng đó.,B1,,,,,He _____________ his knee playing football.,Be careful not to _____________ yourself while moving that heavy furniture.,casualties,số người chết và bị thương trong một thảm họa hoặc tai nạn,typhoon,bão nhiệt đới (Thái Bình Dương),fall down,ngã xuống,get crushed,bị nghiền / bị ép nát,partner,"đối tác, cộng sự",Global problems
break out,/ˌbreɪk ˈaʊt/,phrasal verb,Trốn thoát (khỏi nhà tù),"to escape from a place, especially a prison",Fighting broke out in the prison cells.,Cuộc chiến đã bùng phát trong các xà lim nhà tù.,Fighting broke out between rival fans after the match.,Cuộc ẩu đả đã bùng phát giữa những cổ động viên đối địch sau trận đấu.,B1,,,,,Fighting _____________ in the prison cells.,Fighting _____________ between rival fans after the match.,be feared dead,được cho là đã chết,war,chiến tranh,run out,hết/cạn kiệt,dent,"làm móp nhẹ (kim loại, xe…)",see eye to eye,cùng quan điểm,Global problems
epidemic,/ˌep.ɪˈdem.ɪk/,Noun,dịch bệnh (bùng phát trong khu vực),a large number of cases of a particular disease happening at the same time in a particular community,The government launched a campaign to educate the public during the flu epidemic.,Chính phủ đã phát động một chiến dịch để giáo dục công chúng trong đợt dịch cúm.,Health officials are trying to contain the epidemic.,Các quan chức y tế đang cố gắng khống chế dịch bệnh.,B2,,,,,The government launched a campaign to educate the public during the flu _____________.,Health officials are trying to contain the _____________.,starve,"Chết đói, bị đói",hurricane,Bão (nhiệt đới lớn),victims,"nạn nhân; người chịu hậu quả của tai nạn, chiến tranh, tội phạm…",bump,va mạnh vào vật gì đó,look down on,"coi thường, khinh thường",Global problems
crèche,kreʃ,noun,"nhà trẻ, nơi chăm sóc trẻ nhỏ ban ngày",a place where babies and young children are cared for,The office has a crèche for employees' children.,Văn phòng có một nhà trẻ cho con của nhân viên.,She leaves her baby at the crèche every morning.,Cô ấy gửi em bé ở nhà trẻ mỗi sáng.,B2,,,,,The office has a _____________ for employees' children.,She leaves her baby at the _____________ every morning.,landslide,sạt lở đất,typhoid,Bệnh thương hàn,the wounded,những người bị thương (thường trong chiến tranh/tai nạn lớn),bruise,vết bầm tím trên da,colleague,đồng nghiệp,Education
progress,/ˈprəʊɡres/,Noun,"Sự tiến triển, tiến độ","The process of improving or developing, or of getting nearer to achieving or completing something.",We are making good progress on the new project.,Chúng ta đang đạt được tiến độ tốt trong dự án mới.,The manager will give us an update on our progress.,Người quản lý sẽ cập nhật cho chúng ta về tiến độ.,B1,,,,,We are making good _____________ on the new project.,The manager will give us an update on our _____________.,natural disaster,Thảm họa thiên nhiên,AIDS,bệnh AIDS (một hội chứng suy giảm miễn dịch do virus HIV gây ra),the dead,những người đã chết (trong sự kiện cụ thể),blocked,"bị tắc (ống nước, bồn rửa…)",fall out with,"cãi nhau, mâu thuẫn (dẫn đến xa cách)",Education
submit,/səbˈmɪt/,verb,"nộp, trình","to give a document, proposal, etc. to somebody in authority so that they can study or consider it",You must submit your application before the deadline.,Bạn phải nộp đơn đăng ký trước thời hạn.,The report was submitted to the committee for approval.,Báo cáo đã được trình lên ủy ban để phê duyệt.,B1,,,,,You must _____________ your application before the deadline.,The report was _____________ to the committee for approval.,explosion,"vụ nổ, sự phát nổ",sweep through,"quét qua (bão, hỏa hoạn…)",survivors,người sống sót sau thảm họa,trip,Vấp ngã,casual acquaintance,người quen xã giao,Education
monitor,/ˈmɒnɪtə(r)/,noun,"lớp trưởng, cán bộ lớp","a student in a school with special duties, such as helping a teacher",The control room monitors all production lines 24/7.,Phòng điều khiển giám sát tất cả các dây chuyền sản xuất 24/7.,We need to monitor the progress of the project closely.,Chúng ta cần theo dõi chặt chẽ tiến độ của dự án.,B1,,,,,The control room _____________ all production lines 24/7.,We need to _____________ the progress of the project closely.,damage,"thiệt hại, hư hỏng",shake,rung chuyển,refugees,người tị nạn; rời khỏi đất nước vì chiến tranh hoặc thảm họa,crash,"Vụ va chạm, tai nạn xe",have an affair,"ngoại tình, có quan hệ ngoài luồng",Education
module,/ˈmɒdjuːl/,Noun,"học phần, mô-đun","one of the separate units that a course of study has been divided into, each with its own particular aim",The course consists of ten modules.,Khóa học bao gồm mười học phần.,You must complete all modules to pass the certification.,Bạn phải hoàn thành tất cả các học phần để đạt chứng chỉ.,B1,,,,,The course consists of ten _____________.,You must complete all _____________ to pass the certification.,volcano,núi lửa,erupt,(núi lửa) phun trào,rabies,bệnh dại; lây qua vết cắn của động vật (rất nguy hiểm),dead,"Đã chết, không còn hoạt động",acquaintance,người quen,Education
university entrance exam,ˌjuːnɪˈvɜːsəti ˈentrəns ɪɡˌzæm,noun,kỳ thi đầu vào đại học,an examination that students must take to be admitted to a university,She passed the university entrance exam with flying colours.,Cô ấy đã vượt qua kỳ thi đầu vào đại học với kết quả xuất sắc.,The university entrance exam is very competitive.,Kỳ thi đầu vào đại học rất cạnh tranh.,B2,,,,,She passed the _____________ with flying colours.,The _____________ is very competitive.,spread,"lây lan, lan rộng",casualties,số người chết và bị thương trong một thảm họa hoặc tai nạn,migrants,"người di cư sang quốc gia khác, thường để tìm việc hoặc cuộc sống tốt hơn",spill,"làm tràn, đổ",toilet roll,cuộn giấy vệ sinh,Education
secondary education,ˌsekəndri ˌedʒuˈkeɪʃn,noun,giáo dục trung học,education for children aged eleven to eighteen,Secondary education usually begins at age eleven.,Giáo dục trung học thường bắt đầu từ mười một tuổi.,"After secondary education, many students go to university.","Sau giáo dục trung học, nhiều học sinh vào đại học.",B1,,,,,_____________ usually begins at age eleven.,"After _____________, many students go to university.",suffer,"chịu đựng, trải qua (đau đớn, bệnh tật)",be feared dead,được cho là đã chết,malaria,bệnh sốt rét; thường lây qua muỗi,break down,"hỏng, ngừng hoạt động",terrace,sân lát gạch ngoài nhà để ngồi ăn uống,Education
resit an exam,ˌriːsɪt ən ɪɡˈzæm,verb phrase,thi lại một kỳ thi,to take an examination again after failing it,"If you fail, you can resit an exam next year.","Nếu bạn trượt, bạn có thể thi lại vào năm tới.",He's going to resit an exam in January.,Anh ấy sẽ thi lại vào tháng Giêng.,B2,,,,,"If you fail, you can _____________ next year.",He's going to _____________ in January.,flood,"Lũ lụt, ngập lụt",starve,"Chết đói, bị đói",diarrhoea,tiêu chảy,flat,"phẳng, bằng",phone charger,bộ sạc điện thoại,Education
primary school,ˈpraɪməri skuːl,noun,trường tiểu học,a school for children aged five to eleven,I started primary school when I was five.,Tôi bắt đầu học trường tiểu học khi tôi lên năm.,The child is in his last year of primary school.,Đứa trẻ đang ở năm cuối của trường tiểu học.,A1,,,,,I started _____________ when I was five.,The child is in his last year of _____________.,earthquake,Động đất,landslide,sạt lở đất,cholera,bệnh tả; gây tiêu chảy nghiêm trọng,fall down,ngã xuống,peeler,dao gọt vỏ (rau củ),Education
nursery school,ˈnɜːsəri skuːl,noun,trường mẫu giáo cho trẻ nhỏ,a school for children aged three to five,My son goes to nursery school every morning.,Con trai tôi đi trường mẫu giáo mỗi sáng.,The nursery school is just around the corner.,Trường mẫu giáo ở ngay góc phố.,B1,,,,,My son goes to _____________ every morning.,The _____________ is just around the corner.,drought,Hạn hán,natural disaster,Thảm họa thiên nhiên,typhoon,bão nhiệt đới (Thái Bình Dương),run out,hết/cạn kiệt,ironing board,bàn để là/quần áo,Education
grammar school,ˈɡræmə skuːl,noun,trường trung học tuyển chọn bằng thi,a secondary school in the UK for high achieving students,He passed the exam to get into a grammar school.,Anh ấy đã vượt qua kỳ thi để vào một trường trung học tuyển chọn.,Grammar schools are known for their academic standards.,Trường trung học tuyển chọn nổi tiếng về tiêu chuẩn học thuật.,B2,,,,,He passed the exam to get into a _____________.,_____________ are known for their academic standards.,famine,Nạn đói,explosion,"vụ nổ, sự phát nổ",war,chiến tranh,victims,"nạn nhân; người chịu hậu quả của tai nạn, chiến tranh, tội phạm…",hanger,cái móc treo quần áo,Education
gain admission,ˌɡeɪn ədˈmɪʃn,verb phrase,"được nhận vào (trường, tổ chức)",to be accepted into a school or university,She gained admission to a top university.,Cô ấy được nhận vào một trường đại học hàng đầu.,It's very difficult to gain admission to that course.,Rất khó để được nhận vào khóa học đó.,C1,,,,,She _____________ to a top university.,It's very difficult to _____________ to that course.,injure,làm bị thương,damage,"thiệt hại, hư hỏng",hurricane,Bão (nhiệt đới lớn),the wounded,những người bị thương (thường trong chiến tranh/tai nạn lớn),chopping board,thớt,Education
